Name,Position,Age,team,GamesPlayed,GamesStarted,MinutesGame,FG,FGA,FGPCT,3P,3PA,3PPCT,2P,2PA,2PPCT,eFGPCT,FT,FTA,FTPCT,ORB,DRB,TRB,AssistsGame,StealsGame,BlocksGame,TOV,PF,PointsGame
Amari Bailey,PG,19,CHO,1,0,3.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,0.333,0.333,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Patrick Baldwin Jr.,SF,21,WAS,3,0,3.7,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
LaMelo Ball,PG,22,CHO,15,15,33.4,8.8,19.9,0.443,3.5,8.9,0.388,5.3,10.9,0.488,0.53,3.6,4.2,0.857,1.5,3.9,5.5,8.2,1.4,0.3,3.9,3.5,24.7
Mo Bamba,C,25,PHI,9,0,6.3,1.4,2.7,0.542,0.3,0.8,0.429,1.1,1.9,0.588,0.604,0.7,0.9,0.75,1.3,1.0,2.3,0.1,0.1,0.8,0.7,0.8,3.9
Paolo Banchero,PF,21,ORL,20,20,33.4,7.1,14.7,0.481,1.4,3.1,0.443,5.7,11.6,0.491,0.527,4.1,6.1,0.669,1.4,5.5,6.9,4.9,1.1,0.6,3.1,2.3,19.5
Desmond Bane,SG,25,MEM,19,19,34.0,8.6,19.1,0.453,3.3,8.8,0.369,5.4,10.2,0.526,0.539,3.3,3.8,0.849,0.9,3.5,4.4,5.2,1.4,0.7,2.7,3.1,23.8
Dalano Banton,PG,24,BOS,9,1,8.9,1.4,2.9,0.5,0.1,0.8,0.143,1.3,2.1,0.632,0.519,0.6,0.7,0.833,1.0,1.3,2.3,0.4,0.2,0.2,0.2,1.2,3.6
Dominick Barlow,PF,20,SAS,7,0,5.0,0.4,1.0,0.429,0.0,0.0,0.0,0.4,1.0,0.429,0.429,0.3,0.6,0.5,0.0,0.7,0.7,0.0,0.1,0.0,0.0,0.3,1.1
Harrison Barnes,PF,31,SAC,18,18,31.4,4.2,8.7,0.481,1.8,4.8,0.379,2.3,3.8,0.609,0.587,2.1,2.5,0.844,0.8,2.4,3.2,1.5,0.8,0.1,0.8,1.2,12.3
Scottie Barnes,SG,22,TOR,20,20,34.8,7.3,15.7,0.466,2.0,5.1,0.382,5.4,10.6,0.507,0.529,3.1,4.0,0.772,2.7,6.4,9.1,5.5,1.8,1.3,2.3,2.1,19.6
RJ Barrett,SG,23,NYK,14,14,29.3,6.3,14.9,0.421,2.0,5.1,0.389,4.3,9.8,0.438,0.488,4.0,4.8,0.836,0.5,3.1,3.6,2.7,0.5,0.2,2.0,1.6,18.6
Charles Bassey,C,23,SAS,19,0,10.8,1.5,2.1,0.725,0.0,0.1,0.0,1.5,2.1,0.744,0.725,0.3,0.3,0.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,1.6,3.3
Emoni Bates,SF,20,CLE,7,0,7.4,0.6,2.1,0.267,0.4,1.7,0.25,0.1,0.4,0.333,0.367,0.1,0.3,0.5,0.1,1.1,1.3,0.3,0.1,0.1,0.1,0.3,1.7
Keita Bates-Diop,SF,28,PHO,17,7,19.5,2.1,4.9,0.417,0.5,1.9,0.281,1.5,3.1,0.5,0.47,1.4,1.8,0.767,1.1,2.4,3.4,0.9,0.7,0.8,0.2,1.1,6.0
Bradley Beal,SG,30,PHO,3,3,28.7,6.0,15.3,0.391,1.7,5.0,0.333,4.3,10.3,0.419,0.446,3.7,5.3,0.688,1.0,4.3,5.3,3.7,0.7,0.3,3.0,3.0,17.3
Malik Beasley,SG,27,MIL,20,20,29.2,4.3,8.9,0.48,2.9,6.5,0.45,1.4,2.4,0.563,0.644,0.4,0.6,0.667,0.6,3.9,4.5,1.5,1.0,0.2,0.8,2.0,11.8
MarJon Beauchamp,SF,23,MIL,16,0,16.2,2.0,4.4,0.451,0.9,2.1,0.412,1.1,2.3,0.486,0.549,0.5,0.8,0.667,0.6,1.8,2.4,1.0,0.3,0.2,0.7,1.9,5.4
Dāvis Bertāns,PF,31,OKC,6,0,9.5,1.0,2.7,0.375,1.0,2.5,0.4,0.0,0.2,0.0,0.563,2.3,2.5,0.933,0.0,0.8,0.8,0.8,0.3,0.2,0.0,1.3,5.3
Patrick Beverley,PG,35,PHI,19,1,18.2,1.7,3.8,0.444,0.6,1.9,0.306,1.1,1.9,0.583,0.521,0.6,0.8,0.688,0.9,2.3,3.2,2.5,0.5,0.3,0.7,2.1,4.5
Saddiq Bey,SF,24,ATL,19,7,29.2,4.5,8.8,0.512,1.8,4.5,0.4,2.7,4.4,0.627,0.613,1.5,1.9,0.784,1.9,3.9,5.8,1.2,1.1,0.2,1.2,1.6,12.4
Goga Bitadze,C,24,ORL,18,15,19.9,2.5,4.6,0.542,0.1,0.2,0.25,2.4,4.4,0.557,0.548,1.6,2.2,0.725,2.1,3.9,6.0,1.8,0.8,1.4,0.7,2.4,6.7
Onuralp Bitim,SG,24,CHI,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bismack Biyombo,C,31,MEM,14,13,25.4,2.7,4.6,0.585,0.0,0.0,0.0,2.7,4.6,0.585,0.585,1.3,2.1,0.6,2.7,4.3,7.0,2.0,0.4,1.4,1.2,2.9,6.7
Anthony Black,PG,20,ORL,18,14,19.1,1.8,3.8,0.471,0.4,1.3,0.292,1.4,2.4,0.568,0.522,0.7,1.1,0.65,0.6,1.7,2.3,1.5,0.3,0.4,1.1,2.1,4.7
Leaky Black,SF,24,CHO,4,0,4.3,0.5,1.3,0.4,0.3,0.5,0.5,0.3,0.8,0.333,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.3,0.5,0.0,0.3,1.3
Bogdan Bogdanović,SG,31,ATL,19,1,26.5,5.7,12.7,0.452,3.1,7.8,0.389,2.7,4.8,0.554,0.573,1.2,1.3,0.92,0.4,2.7,3.1,2.3,1.5,0.4,1.3,2.4,15.7
Bojan Bogdanović,PF,34,DET,1,0,27.0,7.0,15.0,0.467,3.0,10.0,0.3,4.0,5.0,0.8,0.567,5.0,6.0,0.833,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,22.0
Bol Bol,PF,24,PHO,3,0,2.3,0.3,0.3,1.0,0.0,0.0,0.0,0.3,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.7,0.0,0.7
Marques Bolden,C,25,MIL,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Devin Booker,SG,27,PHO,11,11,34.2,9.1,19.3,0.472,2.1,5.3,0.397,7.0,14.0,0.5,0.526,7.6,8.2,0.933,1.0,4.8,5.8,8.4,0.7,0.5,2.9,2.9,27.9
Chris Boucher,PF,31,TOR,18,0,14.9,2.2,4.8,0.465,0.8,1.8,0.424,1.4,2.9,0.491,0.547,1.7,2.1,0.816,1.3,2.6,3.9,0.4,0.4,0.5,0.4,1.8,6.9
James Bouknight,SG,23,CHO,1,0,5.0,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,0.238,0.0,1.3,0.0,0.8,2.2,0.385,0.238,0.0,0.0,0.0,0.3,1.3,1.7,1.3,0.0,0.0,1.3,0.5,1.7
Malaki Branham,SG,20,SAS,19,8,20.6,3.4,8.2,0.419,0.9,3.3,0.29,2.5,4.9,0.505,0.477,0.4,0.5,0.889,0.2,1.2,1.4,2.2,0.4,0.1,1.2,1.3,8.2
Christian Braun,SG,22,DEN,21,0,20.9,3.5,7.3,0.474,0.7,1.6,0.412,2.8,5.7,0.492,0.519,1.3,1.8,0.73,0.9,3.3,4.2,2.0,0.4,0.2,0.7,1.6,8.9
Mikal Bridges,SF,27,BRK,19,19,35.0,8.3,17.2,0.48,2.1,5.9,0.357,6.2,11.3,0.544,0.541,4.2,4.9,0.851,1.2,5.1,6.2,3.9,1.1,0.5,2.5,1.8,22.8
Miles Bridges,SF,25,CHO,8,6,36.3,7.4,14.8,0.5,2.0,4.5,0.444,5.4,10.3,0.524,0.568,3.8,4.5,0.833,0.9,6.1,7.0,2.8,1.3,0.4,1.6,2.1,20.5
Oshae Brissett,SF,25,BOS,8,0,11.3,0.4,2.1,0.176,0.1,1.1,0.111,0.3,1.0,0.25,0.206,0.9,1.5,0.583,1.0,1.6,2.6,0.4,0.5,0.0,0.3,1.1,1.8
Malcolm Brogdon,PG,31,POR,14,9,29.2,6.5,15.6,0.417,2.1,5.6,0.385,4.4,10.0,0.436,0.486,3.1,3.9,0.796,1.1,3.1,4.2,6.4,0.9,0.2,1.9,1.3,18.2
Armoni Brooks,PG,25,BRK,5,0,9.0,1.2,3.4,0.353,1.0,2.6,0.385,0.2,0.8,0.25,0.5,0.0,0.0,0.0,0.4,1.6,2.0,0.0,0.0,0.0,0.2,0.2,3.4
Dillon Brooks,SF,28,HOU,17,17,30.7,4.8,9.9,0.479,1.8,4.0,0.441,3.0,5.9,0.505,0.568,1.9,2.4,0.825,0.7,2.6,3.4,1.8,0.9,0.1,1.8,4.1,13.2
Bruce Brown,SG,27,IND,18,18,31.8,4.7,9.7,0.489,1.4,3.8,0.362,3.3,5.8,0.571,0.56,1.8,2.2,0.825,0.5,3.7,4.2,2.8,1.1,0.3,1.1,2.3,12.7
Jaylen Brown,SF,27,BOS,18,18,34.5,8.3,18.4,0.449,2.4,7.0,0.341,5.9,11.4,0.515,0.514,2.8,4.0,0.708,0.6,4.4,4.9,3.4,1.2,0.6,2.4,2.8,21.8
Kobe Brown,PF,24,LAC,10,0,8.5,0.8,2.2,0.364,0.4,1.5,0.267,0.4,0.7,0.571,0.455,0.0,0.0,0.0,0.3,1.2,1.5,0.5,0.1,0.1,0.1,1.4,2.0
Moses Brown,C,24,POR,3,0,4.7,1.0,1.7,0.6,0.0,0.0,0.0,1.0,1.7,0.6,0.6,0.0,0.7,0.0,1.3,0.3,1.7,0.3,0.3,0.3,0.0,0.3,2.0
Troy Brown Jr.,SF,24,MIN,15,2,13.7,1.4,3.3,0.42,0.8,2.1,0.375,0.6,1.2,0.5,0.54,1.1,1.3,0.85,0.7,2.1,2.8,0.7,0.3,0.1,0.5,0.8,4.7
Jalen Brunson,PG,27,NYK,19,19,35.5,8.9,19.1,0.467,3.3,7.0,0.474,5.6,12.1,0.463,0.554,3.8,4.6,0.83,0.7,3.1,3.7,5.5,1.0,0.1,1.9,2.2,24.9
Thomas Bryant,C,26,MIA,13,3,12.9,2.1,4.2,0.5,0.0,0.2,0.0,2.1,3.9,0.529,0.5,0.9,1.2,0.8,1.0,2.8,3.8,0.6,0.5,0.3,0.9,1.3,5.1
Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Reggie Bullock,SF,32,HOU,8,0,9.5,0.5,1.6,0.308,0.5,1.5,0.333,0.0,0.1,0.0,0.462,0.0,0.0,0.0,0.3,1.4,1.6,0.4,0.1,0.1,0.3,0.9,1.5
Alec Burks,SG,32,DET,13,0,19.8,2.9,8.5,0.345,2.0,5.5,0.366,0.9,3.0,0.308,0.464,2.9,3.4,0.864,0.5,1.8,2.4,1.9,0.4,0.3,0.4,1.6,10.8
Jared Butler,SG,23,WAS,7,0,5.1,1.0,2.1,0.467,0.4,1.3,0.333,0.6,0.9,0.667,0.567,0.4,0.4,1.0,0.0,0.4,0.4,1.3,0.6,0.1,0.4,0.7,2.9
Jimmy Butler,PF,34,MIA,16,16,33.8,6.9,14.8,0.468,1.1,2.7,0.395,5.9,12.1,0.485,0.504,7.5,8.4,0.889,2.1,3.3,5.4,4.0,1.2,0.5,1.8,0.8,22.4
Jamal Cain,PF,24,MIA,6,0,12.7,1.3,2.8,0.471,0.3,1.5,0.222,1.0,1.3,0.75,0.529,0.3,0.8,0.4,0.5,1.0,1.5,0.0,0.7,0.0,0.3,0.8,3.3
Kentavious Caldwell-Pope,SG,30,DEN,21,21,34.3,3.9,8.7,0.451,1.6,3.9,0.407,2.3,4.8,0.485,0.541,1.8,2.0,0.927,0.5,1.6,2.0,2.7,1.7,0.4,1.3,2.1,11.2
Toumani Camara,PF,23,POR,19,10,24.9,2.3,5.5,0.41,0.7,2.6,0.28,1.5,2.9,0.527,0.476,1.1,1.4,0.741,1.7,2.3,4.1,1.1,0.9,0.6,1.1,2.5,6.3
Clint Capela,C,29,ATL,19,19,24.5,4.6,8.1,0.569,0.0,0.0,0.0,4.6,8.1,0.569,0.569,1.5,2.4,0.609,4.6,5.5,10.1,1.1,0.7,1.7,0.8,2.3,10.6
Jevon Carter,PG,28,CHI,21,0,14.5,2.1,5.4,0.395,1.2,3.3,0.362,1.0,2.1,0.444,0.504,0.0,0.0,0.0,0.1,0.5,0.6,1.2,0.5,0.3,0.7,1.1,5.5
Wendell Carter Jr.,C,24,ORL,5,5,29.4,3.4,9.0,0.378,1.0,3.2,0.313,2.4,5.8,0.414,0.433,1.6,2.8,0.571,2.2,6.4,8.6,1.6,0.6,0.4,1.6,2.8,9.4
Alex Caruso,SG,29,CHI,18,7,23.4,3.4,6.3,0.54,1.7,3.6,0.477,1.7,2.7,0.625,0.677,1.2,1.5,0.778,1.1,2.2,3.3,2.3,1.4,0.8,1.3,2.3,9.7
Colin Castleton,C,23,LAL,3,0,7.7,0.7,1.7,0.4,0.0,0.0,0.0,0.7,1.7,0.4,0.4,0.7,0.7,1.0,1.0,1.0,2.0,0.7,0.0,0.0,0.0,1.7,2.0
Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Champagnie,SF,22,SAS,12,5,16.2,2.3,6.1,0.37,1.7,4.3,0.385,0.6,1.8,0.333,0.507,0.7,0.9,0.727,0.4,1.6,2.0,1.1,0.5,0.8,1.1,0.9,6.8
Max Christie,SG,20,LAL,16,5,18.3,1.9,4.7,0.4,0.7,2.2,0.314,1.2,2.5,0.475,0.473,0.6,0.8,0.833,0.2,2.8,2.9,1.1,0.4,0.3,0.8,1.6,5.1
Sidy Cissoko,SF,19,SAS,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jordan Clarkson,SG,31,UTA,17,17,31.5,6.5,15.6,0.414,1.8,5.8,0.316,4.6,9.9,0.47,0.472,3.0,3.6,0.836,1.2,2.1,3.3,4.9,0.8,0.1,3.2,1.4,17.8
Nic Claxton,C,24,BRK,10,10,27.1,5.7,8.4,0.679,0.0,0.0,0.0,5.7,8.4,0.679,0.679,1.3,2.2,0.591,3.5,5.2,8.7,1.5,0.6,2.6,0.8,2.5,12.7
Noah Clowney,PF,19,BRK,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,SF,26,LAC,10,0,5.8,0.4,1.2,0.333,0.0,0.3,0.0,0.4,0.9,0.444,0.333,0.4,0.4,1.0,0.2,0.5,0.7,0.3,0.1,0.0,0.2,0.5,1.2
John Collins,PF,26,UTA,20,20,31.2,5.5,11.4,0.478,1.5,3.7,0.405,4.0,7.7,0.513,0.544,2.0,2.8,0.727,2.7,5.7,8.4,0.9,0.6,0.9,1.4,3.0,14.4
Zach Collins,C,26,SAS,19,19,29.2,5.2,10.5,0.492,1.1,4.1,0.273,4.1,6.4,0.631,0.545,2.4,3.0,0.807,1.9,4.1,6.0,3.9,0.7,0.7,2.8,3.5,13.8
Mike Conley,PG,36,MIN,19,19,29.5,3.5,8.1,0.438,2.1,5.1,0.412,1.4,2.9,0.482,0.569,1.2,1.3,0.958,0.5,2.4,2.9,6.2,0.9,0.1,0.9,1.8,10.4
Pat Connaughton,SF,31,MIL,18,0,23.1,2.1,5.0,0.422,1.1,3.3,0.339,1.0,1.7,0.581,0.533,0.4,0.7,0.667,0.7,2.8,3.5,2.0,0.5,0.2,0.8,1.1,5.8
Bilal Coulibaly,SF,19,WAS,18,1,26.3,3.1,6.0,0.519,1.1,2.6,0.435,2.0,3.4,0.581,0.611,0.9,1.3,0.667,0.4,3.3,3.8,1.6,1.1,0.7,1.4,1.8,8.2
Torrey Craig,SF,33,CHI,21,7,21.4,2.0,4.8,0.42,0.8,2.5,0.327,1.2,2.3,0.521,0.505,0.6,0.6,0.923,1.8,3.1,4.9,1.1,0.6,0.4,0.7,2.4,5.4
Jae Crowder,PF,33,MIL,9,2,26.7,2.8,5.2,0.532,1.8,3.4,0.516,1.0,1.8,0.563,0.702,0.8,1.3,0.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1
Cade Cunningham,PG,22,DET,20,20,35.1,8.3,19.9,0.416,2.1,6.0,0.35,6.2,13.9,0.444,0.469,3.8,4.2,0.893,0.5,3.4,3.9,7.3,0.9,0.2,4.4,2.8,22.4
Seth Curry,SG,33,DAL,15,1,10.8,1.5,3.9,0.379,0.7,2.1,0.344,0.7,1.7,0.423,0.474,0.4,0.5,0.857,0.4,0.9,1.3,0.9,0.5,0.1,0.3,0.8,4.1
Stephen Curry,PG,35,GSW,18,18,33.4,8.9,18.8,0.476,5.1,11.7,0.431,3.9,7.1,0.551,0.611,6.1,6.6,0.932,0.8,4.2,5.0,4.7,0.7,0.2,3.6,1.8,29.1
Dyson Daniels,PG,20,NOP,21,12,26.4,3.0,7.1,0.413,0.8,3.0,0.25,2.2,4.1,0.535,0.467,0.7,1.1,0.625,1.0,3.7,4.8,3.4,1.5,0.4,1.4,2.0,7.4
Anthony Davis,C,30,LAL,20,20,35.1,8.6,15.8,0.546,0.2,0.6,0.273,8.5,15.2,0.556,0.551,5.5,6.6,0.84,3.3,9.2,12.5,3.3,1.1,2.8,2.1,2.9,22.9
Johnny Davis,SG,21,WAS,14,0,9.1,1.4,2.9,0.475,0.1,0.2,0.333,1.3,2.6,0.486,0.488,0.3,0.4,0.8,0.6,0.8,1.4,0.4,0.5,0.1,0.4,0.7,3.1
Dexter Dennis,SG,24,DAL,2,0,3.5,1.0,3.0,0.333,0.0,1.5,0.0,1.0,1.5,0.667,0.333,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0
DeMar DeRozan,SF,34,CHI,19,19,35.4,7.6,16.7,0.456,0.9,2.5,0.375,6.7,14.2,0.47,0.484,5.3,6.5,0.813,0.9,2.4,3.3,4.9,0.9,0.8,1.2,2.1,21.5
Moussa Diabaté,C,22,LAC,9,0,6.1,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,1.0,1.3,0.75,1.6,0.6,2.1,0.4,0.4,0.0,0.2,0.4,3.0
Gradey Dick,SG,20,TOR,15,1,14.7,1.1,4.2,0.27,0.7,2.7,0.244,0.5,1.5,0.318,0.349,0.9,0.9,1.0,0.5,1.0,1.5,1.0,0.3,0.0,0.8,1.5,3.9
Ousmane Dieng,PF,20,OKC,12,0,10.2,1.1,3.1,0.351,0.6,2.2,0.269,0.5,0.9,0.545,0.446,0.3,0.3,0.75,0.5,1.3,1.8,0.9,0.1,0.0,0.3,0.6,3.0
Spencer Dinwiddie,PG,30,BRK,18,18,31.4,4.6,11.3,0.409,2.3,6.6,0.353,2.3,4.7,0.488,0.512,3.2,3.9,0.803,0.5,3.5,4.0,6.3,0.6,0.1,1.7,1.6,14.7
Donte DiVincenzo,SG,27,NYK,19,2,20.4,3.2,7.4,0.426,2.3,5.2,0.434,0.9,2.2,0.405,0.578,0.6,0.9,0.647,0.8,2.1,2.8,1.7,0.9,0.3,1.1,1.4,9.2
Luka Dončić,PG,24,DAL,18,18,35.8,10.8,22.0,0.49,3.8,9.9,0.388,6.9,12.1,0.573,0.577,6.0,7.9,0.761,0.7,7.7,8.4,8.4,1.3,0.5,3.8,1.8,31.4
Luguentz Dort,SF,24,OKC,19,19,28.3,3.5,7.8,0.443,1.7,4.3,0.407,1.7,3.6,0.485,0.554,1.6,2.1,0.775,1.1,3.0,4.1,1.3,0.9,0.8,1.0,3.0,10.3
Ayo Dosunmu,SG,24,CHI,19,1,17.6,2.5,4.8,0.511,0.8,2.2,0.357,1.7,2.6,0.64,0.592,0.7,0.9,0.778,0.5,1.2,1.6,1.7,0.7,0.1,0.7,1.6,6.5
Andre Drummond,C,30,CHI,21,0,13.2,2.3,4.3,0.527,0.0,0.0,0.0,2.3,4.3,0.533,0.527,1.2,2.1,0.591,2.6,3.9,6.5,0.6,1.0,0.3,1.0,1.6,5.8
Chris Duarte,SF,26,SAC,17,5,15.1,1.6,4.2,0.394,0.8,2.5,0.333,0.8,1.7,0.483,0.493,0.6,0.8,0.714,0.2,1.8,2.0,0.9,0.7,0.1,0.6,2.8,4.7
Kris Dunn,PG,29,UTA,13,1,10.3,1.5,3.4,0.432,0.3,0.7,0.444,1.2,2.7,0.429,0.477,0.4,0.6,0.625,0.3,1.5,1.8,1.9,0.5,0.1,1.2,1.3,3.6
Kevin Durant,PF,35,PHO,18,18,36.6,10.6,20.6,0.512,2.2,4.5,0.494,8.3,16.1,0.517,0.566,7.7,8.6,0.896,0.3,6.2,6.4,5.8,0.8,1.2,3.6,1.8,31.0
Jalen Duren,C,20,DET,13,12,28.8,5.5,8.8,0.626,0.0,0.2,0.0,5.5,8.7,0.637,0.626,1.2,2.1,0.556,3.5,7.4,10.9,2.7,0.6,1.4,2.8,3.6,12.2
Tari Eason,PF,22,HOU,10,0,17.9,2.8,6.0,0.467,0.6,1.6,0.375,2.2,4.4,0.5,0.517,0.5,0.9,0.556,1.6,4.1,5.7,0.9,0.5,1.2,0.7,2.0,6.7
Anthony Edwards,SG,22,MIN,17,17,35.1,9.2,19.9,0.464,2.5,6.7,0.377,6.7,13.2,0.509,0.528,5.2,6.1,0.864,0.8,5.1,5.9,5.0,1.3,0.5,3.2,1.9,26.2
Kessler Edwards,SF,23,SAC,14,0,6.4,0.4,1.5,0.286,0.3,1.0,0.286,0.1,0.5,0.286,0.381,0.1,0.1,0.5,0.2,0.9,1.1,0.4,0.1,0.1,0.1,0.6,1.2
Keon Ellis,SG,24,SAC,11,2,11.2,1.0,2.6,0.379,0.5,2.1,0.261,0.5,0.5,0.833,0.483,0.5,1.0,0.545,0.4,1.1,1.5,0.9,0.5,0.4,0.5,1.0,3.1
Joel Embiid,C,29,PHI,16,16,34.5,10.3,20.7,0.498,1.1,3.4,0.315,9.3,17.3,0.534,0.524,10.3,11.8,0.878,3.3,8.0,11.3,6.6,1.0,1.9,3.7,3.0,32.0
